CALL_SIGN,BERTH,ADJUSTED_START,ADJUSTED_END
3E7671,KC7,2025-05-13 08:36:00,2025-05-13 08:36:00
3E7638,WA3,2025-05-15 21:07:00,2025-05-15 20:07:00
3ELS,KC11,2025-05-10 17:43:00,2025-05-09 20:13:00
9V6513,KC11,2025-05-11 00:13:00,2025-05-10 01:43:00
5LFU8,KC11,2025-05-11 00:46:00,2025-05-07 00:16:00
9V9106,KC13,2025-05-16 05:00:00,2025-05-16 14:00:00
9V6015,SELA,2025-05-15 01:00:00,2025-05-15 10:30:00
5LPH8,KC2,2025-05-12 06:00:00,2025-05-13 02:00:00
3E7558,WA3,2025-05-14 09:26:00,2025-05-15 18:09:00
VRSL6,SLA,2025-05-15 08:30:00,2025-05-15 22:00:00
BOAM7,WA3,2025-05-10 15:49:00,2025-05-10 23:19:00
V7A5825,KC7,2025-05-14 09:51:00,2025-05-14 05:55:00
3E6682,KC16,2025-05-12 07:36:00,2025-05-13 11:36:00
VRWI3,KC11,2025-05-12 23:10:00,2025-05-10 15:10:00
V7PS7,SLA,2025-05-14 21:30:00,2025-05-15 08:00:00
3EEF9,KC11,2025-05-10 07:06:00,2025-05-11 02:06:00
BPIU9,KC11,2025-05-14 17:00:00,2025-05-12 11:43:00
9HA5839,TMECO,2025-05-12 07:00:00,2025-05-12 21:30:00
BKLG,WA3,2025-05-15 23:23:00,2025-05-16 22:53:00
9V7978,KC7,2025-05-13 09:00:00,2025-05-13 23:00:00
3FMG7,KC9,2025-05-13 17:30:00,2025-05-14 23:00:00
VRUB8,KC12,2025-05-12 07:00:00,2025-05-12 23:00:00
H3YG,KC11,2025-05-13 22:00:00,2025-05-14 23:00:00
D5DG9,KC11,2025-05-16 06:30:00,2025-05-16 17:30:00
VRCY6,KC2,2025-05-13 03:00:00,2025-05-14 23:00:00
5LES7,KC10,2025-05-13 09:00:00,2025-05-13 23:00:00
3EUL8,SHELL,2025-05-14 19:08:00,2025-05-15 16:08:00
VRFQ5,KC5,2025-05-14 20:25:00,2025-05-15 20:25:00
BRWT,SWLA,2025-05-11 23:00:00,2025-05-12 23:00:00
9M3120,SHELL,2025-05-11 07:00:00,2025-05-11 23:00:00
3E7431,KC6,2025-05-13 18:00:00,2025-05-15 14:00:00
9V7800,KC14,2025-05-16 06:32:00,2025-05-16 14:32:00
HP9499,KC10,2025-05-14 06:00:00,2025-05-14 23:00:00
9V7381,SLA,2025-05-11 20:00:00,2025-05-12 08:00:00
3E2779,KC6,2025-05-11 07:00:00,2025-05-12 14:00:00
9V6497,KC10,2025-05-16 02:30:00,2025-05-16 15:00:00
9V7846,KC7,2025-05-15 18:00:00,2025-05-16 19:30:00
9LU2481,KC8,2025-05-11 23:59:00,2025-05-13 16:00:00
9V6494,CSWFM,2025-05-12 23:59:00,2025-05-13 18:00:00
BPWN3,SHELL,2025-05-15 18:00:00,2025-05-17 03:00:00
3E5084,SWLA,2025-05-15 19:00:00,2025-05-16 20:00:00
VRRH2,KC3,2025-05-12 08:00:00,2025-05-13 18:00:00
5LHO2,CSWFM,2025-05-15 06:30:00,2025-05-15 15:00:00
CQIU6,KC5,2025-05-11 11:00:00,2025-05-14 17:30:00
D7SB,KC4,2025-05-12 00:01:00,2025-05-12 09:00:00
D5TI7,WA3,2025-05-11 23:30:00,2025-05-12 18:00:00
V7A4470,KC7,2025-05-15 13:00:00,2025-05-16 18:00:00
VRTT8,KC19,2025-05-16 03:30:00,2025-05-16 14:30:00
BLIG,SLA,2025-05-13 20:00:00,2025-05-14 09:00:00
V7A6349,SWLA,2025-05-14 17:00:00,2025-05-15 10:11:00
VRFO2,KC9,2025-05-15 05:30:00,2025-05-15 20:00:00
BLHP,SHELL,2025-05-13 02:00:00,2025-05-13 23:59:00
3E4003,KC9,2025-05-11 12:00:00,2025-05-12 15:10:00
3FOB4,KC5,2025-05-16 03:00:00,2025-05-16 23:59:00
VRUN6,KC19,2025-05-11 21:00:00,2025-05-13 21:00:00
VRUN4,SHELL,2025-05-14 00:01:00,2025-05-14 21:00:00
D5WB7,KC7,2025-05-12 16:30:00,2025-05-13 09:00:00
9VFL3,KC11,2025-05-12 16:00:00,2025-05-13 21:00:00
BQXZ,KC19,2025-05-15 09:00:00,2025-05-15 15:00:00
VRWN4,KC8,2025-05-14 00:40:00,2025-05-14 21:40:00
V7DC5,SWLA,2025-05-11 08:30:00,2025-05-11 12:08:00
V7A7425,KC14,2025-05-15 09:00:00,2025-05-15 11:08:00
9HA5502,KC9,2025-05-12 21:00:00,2025-05-13 13:00:00
A8SN5,KC19,2025-05-13 23:00:00,2025-05-14 12:00:00
VRBK8,WA3,2025-05-12 20:00:00,2025-05-13 08:00:00
VRMV2,KC6,2025-05-12 18:00:00,2025-05-13 08:00:00
3E2605,KC16,2025-05-11 23:59:00,2025-05-12 09:00:00
HSGF2,KC9,2025-05-15 23:59:00,2025-05-16 20:00:00
3E4035,KC6,2025-05-15 14:30:00,2025-05-16 09:00:00
9HA5926,SLA,2025-05-16 03:00:00,2025-05-16 15:30:00
3E7593,KC11,2025-05-11 06:30:00,2025-05-11 14:00:00
BQMV,KC7,2025-05-13 23:00:00,2025-05-14 12:00:00
VRPS8,KC11,2025-05-14 19:00:00,2025-05-16 11:05:00
VREU8,SELA,2025-05-11 09:00:00,2025-05-14 23:59:00
VRVS3,KC2,2025-05-15 07:29:00,2025-05-16 08:29:00
VRSK4,KC13,2025-05-12 00:01:00,2025-05-15 18:00:00
BPBY,KC4,2025-05-16 08:00:00,2025-05-16 23:00:00
5BCK2,SLA,2025-05-12 08:00:00,2025-05-13 11:00:00
3E8732,KC10,2025-05-12 23:00:00,2025-05-13 08:00:00
2IEC6,KC7,2025-05-11 15:00:00,2025-05-12 15:00:00
VRAB8,KC8,2025-05-15 06:00:00,2025-05-15 18:00:00
3FXG8,KC16,2025-05-14 07:00:00,2025-05-15 13:00:00
D7AP,WA3,2025-05-16 07:45:00,2025-05-16 17:15:00
3E5137,SWLA,2025-05-12 23:00:00,2025-05-13 11:00:00
BPAR,WA3,2025-05-13 09:00:00,2025-05-13 21:30:00
V7AQ9,KC7,2025-05-14 11:27:00,2025-05-15 09:41:00
3E5147,SWLA,2025-05-14 04:00:00,2025-05-14 15:00:00
HSB8290,KC11,2025-05-15 20:30:00,2025-05-16 15:00:00
3E7175,KC7,2025-05-11 08:00:00,2025-05-11 13:00:00
3E5816,KC6,2025-05-16 16:00:00,2025-05-17 15:09:00
A8VG2,WA3,2025-05-13 23:00:00,2025-05-14 10:00:00
5BEB4,CMTY,2025-05-12 05:00:00,2025-05-12 12:00:00
3E2170,SLA,2025-05-14 07:30:00,2025-05-14 16:30:00
3E4122,KC10,2025-05-15 03:02:00,2025-05-15 20:57:00
9V7936,KC11,2025-05-12 10:00:00,2025-05-16 20:00:00
3FDY9,KC19,2025-05-14 21:30:00,2025-05-15 08:30:00
DSMA4,KC11,2025-05-12 02:00:00,2025-05-12 23:00:00
DSOA9,KC11,2025-05-12 14:00:00,2025-05-14 12:00:00
D5ML2,WA3,2025-05-11 09:00:00,2025-05-11 22:00:00
D7VN,CMTY,2025-05-12 21:00:00,2025-05-13 17:00:00
D5YE7,SELA,2025-05-15 19:30:00,2025-05-16 13:00:00
HO3256,KC8,2025-05-16 05:00:00,2025-05-16 18:00:00
9WUY7,KC14,2025-05-14 02:34:00,2025-05-14 17:04:00
V7A2844,KC14,2025-05-13 02:18:00,2025-05-13 09:18:00
S6ST,KC,2025-05-13 07:00:00,2025-05-13 18:00:00
V7KN6,KC11,2025-05-12 14:29:00,2025-05-12 10:29:00
9V8480,CSWFM,2025-05-12 06:00:00,2025-05-12 18:00:00
3FPF4,KC16,2025-05-12 10:00:00,2025-05-12 21:00:00
3E4026,KC4,2025-05-12 10:00:00,2025-05-15 23:00:00
3EJI7,SHELL,2025-05-12 18:00:00,2025-05-13 02:00:00
V7BQ2,KC10,2025-05-11 17:00:00,2025-05-12 18:53:00
5LNQ4,KC11,2025-05-11 14:00:00,2025-05-12 01:00:00
3E5352,SHELL,2025-05-11 23:00:00,2025-05-12 18:00:00
D7QB,CSWFM,2025-05-14 03:00:00,2025-05-14 18:30:00
5LSI3,CMTY,2025-05-14 07:44:00,2025-05-15 10:13:00
3FDM5,KC11,2025-05-10 00:43:00,2025-05-04 21:43:00
TJM5208,KC11,2025-05-16 18:00:00,2025-05-16 08:00:00
XVEQ7,KC11,2025-05-10 20:39:00,2025-05-05 15:09:00
D7IG,KC11,2025-05-13 08:15:00,2025-05-08 22:45:00
