CALL_SIGN,ETD_TIME,VESSEL_MAX_DRAFT,ATA_TIME,ETA_TIME,FLAG,VESSEL_NAME,NEXT_PORT,LAST_PORT,BERTH,SHIP_TYPE,PASI,ATD_TIME,CURRENT_LOCATION,AGENT_NAME
BPIU9,2025/05/12 11:43,6,2025/05/14 19:01,2025/05/14 17:00,CHINA,HONG JING,"DONGGUAN, GD","DONGGUAN, GD",SHELL,LIQUIFIED PETROLEUM GAS TANKER,RCVD,2025/05/12 19:53,SHELL,S5 ASIA LIMITED
V7A6349,2025/05/15 10:11,7.7,2025/05/14 19:07,2025/05/14 17:00,MARSHALL ISLANDS,TS SURABAYA,"SHEKOU, SHENZHEN","NANSHA, PANYU",KC6,CONTAINER,RCVD,2025/05/15 08:55,KC6,T.S. LINES LIMITED
3EUL8,2025/05/15 18:00,10.3,2025/05/14 19:08,2025/05/14 21:00,PANAMA,EVER BIRTH,"YANTIAN, SHENZHEN",KUANTAN,KC7,CONTAINER,RCVD,2025/05/15 08:27,KC7,EVERGREEN MARINE (HONG KONG) LTD
VRFQ5,2025/05/15 22:00,8.6,2025/05/14 20:25,2025/05/14 22:00,"HONG KONG, CHINA",OCEAN DUKE,PORT HEDLAND,"LUOYUAN, FJ",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/15 08:06,SELA,SGS HONG KONG LIMITED
V7PS7,2025/05/15 08:00,11.5,2025/05/14 22:59,2025/05/14 21:30,MARSHALL ISLANDS,HYUNDAI FAITH,QINGDAO,SINGAPORE,KC5,CONTAINER,RCVD,2025/05/15 07:59,KC5,HMM (HONG KONG) LIMITED
3FDY9,2025/05/15 08:30,9.4,2025/05/14 23:01,2025/05/14 21:30,PANAMA,KMTC GWANGYANG,HO CHI MINH CITY,ULSAN,KC9,CONTAINER,RCVD,2025/05/15 08:58,KC9,KMTC (HK) CO LIMITED
9HA5502,2025/05/13 13:00,13.3,2025/05/15 00:05,2025/05/12 21:00,MALTA,CMA CGM DIGNITY,"NINGBO, ZJ",BUSAN,SELA,CONTAINER,RCVD,2025/05/15 00:07,S,CMA CGM (HONG KONG) LIMITED
3E4122,2025/05/15 23:55,6.9,2025/05/15 03:02,2025/05/15 06:00,PANAMA,SHOKAI ,VUNGTAU,"OTHER, CHINA (COAST)",SLA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/15 13:02,SLA,INCHCAPE SHIPPING SERVICES (HK) LTD
9V6015,2025/05/15 10:30,9.7,2025/05/15 03:07,2025/05/15 01:00,SINGAPORE,MAERSK QINZHOU,KEELUNG,DANANG,KC19,CONTAINER,RCVD,2025/05/15 12:38,KC,PENAVICO (HONG KONG) LIMITED
3FXG8,2025/05/15 13:00,7.6,2025/05/15 06:03,2025/05/14 07:00,PANAMA,FENGYUNHE,"QINZHOU, GX","YANTIAN, GD",KC10,CONTAINER,RCVD,2025/05/15 11:56,KC10,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
VRFO2,2025/05/15 20:00,10.3,2025/05/15 06:47,2025/05/15 05:30,"HONG KONG, CHINA",MAERSK NINGBO,BRISBANE,"SHANGHAI, SH",KC19,CONTAINER,RCVD,2025/05/15 20:24,WA,SINOTRANS (HK) SHIPPING LTD
VRVS3,2025/05/16 10:00,11.5,2025/05/15 07:29,2025/05/15 09:00,"HONG KONG, CHINA",COSCO SHIPPING BRAZIL,"TIANJIN XINGANG, TJ",SINGAPORE,KC14,CONTAINER,RCVD,2025/05/16 00:01,ELC,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
5LHO2,2025/05/15 15:00,9.3,2025/05/15 07:48,2025/05/15 06:30,LIBERIA,AVIOS,"SHANGHAI, SH",LAEM CHABANG,KC4,CONTAINER,RCVD,2025/05/15 20:23,PT,SINOTRANS (HK) SHIPPING LTD
VRAB8,2025/05/15 18:00,9.8,2025/05/15 09:44,2025/05/15 06:00,"HONG KONG, CHINA",CSCL ASIA,"NINGBO, ZJ","DALIAN, LN",KC13,CONTAINER,RCVD,2025/05/15 20:03,E,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
BQXZ,2025/05/15 15:00,7.1,2025/05/15 09:58,2025/05/15 09:00,CHINA,HAI SU 6,"SHEKOU, SHENZHEN","SHANTOU, GD",CMTY,CONTAINER,RCVD,2025/05/15 13:33,E,SINOTRANS (HK) SHIPPING LTD
V7A7425,2025/05/15 11:08,7.4,2025/05/15 10:16,2025/05/15 09:00,MARSHALL ISLANDS,TS PUSAN,"XINGANG, TIANJIN, TJ",MANILA,KC7,CONTAINER,RCVD,2025/05/16 02:36,E,T.S. LINES LIMITED
VRSL6,2025/05/15 22:00,10,2025/05/15 10:24,2025/05/15 08:30,"HONG KONG, CHINA",LAUTOKA CHIEF,LAE,"NANSHA, PANYU",KC2,CONTAINER,RCVD,2025/05/15 20:32,S,WALLEM SHIPPING (HK) LTD
3E4035,2025/05/16 09:00,7,2025/05/15 19:07,2025/05/15 14:30,PANAMA,GREEN POWER,GERALDTON,"ZHUHAI, GD",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/16 01:12,W,GULF AGENCY CO (HK) LTD
3E7638,2025/05/15 23:00,7,2025/05/15 21:07,2025/05/16 00:00,PANAMA,HONG DA XIN 758,"ZHUHAI, GD","NANSHA, PANYU",SWLA,CONTAINER,RCVD,2025/05/15 21:12,W,CONCORD MARINE LIMITED
BOAM7,2025/05/11 00:00,6.6,2025/05/10 15:49,2025/05/10 14:30,CHINA,ZHONG GU DONG HAI,HAIPHONG,OPEN SEA,KC6,CONTAINER,RCVD,2025/05/10 22:28,S,PENAVICO (HONG KONG) LIMITED
VRTT8,2025/05/16 14:30,9.05,2025/05/09 15:39,2025/05/16 03:30,"HONG KONG, CHINA",NICOLAI MAERSK,KAOHSIUNG,"NANSHAN, SHENZHEN",KC19,CONTAINER,RCVD,2025/05/10 03:06,KC17,SINOTRANS (HK) SHIPPING LTD
3FMG7,2025/05/14 23:00,12.8,2025/05/13 18:56,2025/05/13 17:30,PANAMA,TEXAS TRIUMPH,"YANTIAN, SHENZHEN",KAOHSIUNG,KC8,CONTAINER,RCVD,2025/05/14 12:41,KC8,EVERGREEN MARINE (HONG KONG) LTD
3E6682,2025/05/14 04:00,7,2025/05/12 07:36,2025/05/13 00:00,PANAMA,CHANG SHENG JI 7,KAOHSIUNG,"SHANGHAI, SH",SELA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/12 07:37,W,CONCORD MARINE LIMITED
BLIG,2025/05/14 09:00,8.5,2025/05/13 20:59,2025/05/13 20:00,"TAIWAN, CHINA",YM HARMONY,HAIPHONG,KAOHSIUNG,KC14,CONTAINER,RCVD,2025/05/14 07:00,KC14,YANG MING LINE (HONG KONG) LTD
DSOA9,2025/05/14 12:00,9.4,2025/05/13 22:24,2025/05/12 14:00,REPUBLIC OF KOREA,KMTC SINGAPORE,KEELUNG,LAEM CHABANG,KC12,CONTAINER,RCVD,2025/05/14 05:11,WA,KMTC (HK) CO LIMITED
VREU8,2025/05/14 23:59,8.7,2025/05/13 23:02,2025/05/11 09:00,"HONG KONG, CHINA",SC LIAONING,SINGAPORE,DAESAN,SLA,"TANKER (CRUDE,FUEL,DIESEL,LUB)",RCVD,2025/05/14 15:11,SHELL,GULF AGENCY CO (HK) LTD
A8VG2,2025/05/14 10:00,10.7,2025/05/13 23:14,2025/05/13 23:00,LIBERIA,GSL AFRICA,"SHANGHAI, SH",LAEM CHABANG,KC18,CONTAINER,RCVD,2025/05/14 09:40,KC18,ZIM INTEGRATED SHIPPING AGENCIES (HK) LIMITED
A8SN5,2025/05/14 12:00,10.7,2025/05/13 23:41,2025/05/13 23:00,LIBERIA,ANL WAIKATO ,"SHEKOU, SHENZHEN","NINGBO, ZJ",KC7,CONTAINER,RCVD,2025/05/14 11:54,KC7,CMA CGM (HONG KONG) LIMITED
BQMV,2025/05/14 12:00,6.4,2025/05/14 00:19,2025/05/13 23:00,CHINA,FU LIAN,QINGDAO,HAIPHONG,KC7,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/14 04:34,ELC,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
VRWN4,2025/05/14 23:00,10.3,2025/05/14 00:40,2025/05/14 02:00,"HONG KONG, CHINA",OOCL SAN FRANCISCO,SINGAPORE,KAOHSIUNG,KC,CONTAINER,RCVD,2025/05/14 12:59,KC,OOCL HONG KONG BRANCH
VRUN4,2025/05/14 21:00,13.2,2025/05/14 01:44,2025/05/14 00:01,"HONG KONG, CHINA",ONE AMAZON,"SHANGHAI, SH",SINGAPORE,KC5,CONTAINER,RCVD,2025/05/14 21:17,KC5,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED
9WUY7,2025/05/14 21:30,8,2025/05/14 02:34,2025/05/14 07:00,MALAYSIA,HARBOUR HORIZON,KUCHING,"NANSHA, PANYU",KC2,CONTAINER,RCVD,2025/05/14 22:59,SELA,HARBOUR-LINK LINES LIMITED 
H3YG,2025/05/14 23:00,8.8,2025/05/14 03:08,2025/05/13 22:00,PANAMA,UNI-PREMIER,KOTA KINABALU,KAOHSIUNG,KC,CONTAINER,RCVD,2025/05/14 17:58,KC,EVERGREEN MARINE (HONG KONG) LTD
3E5147,2025/05/14 15:00,7.5,2025/05/14 04:16,2025/05/14 04:00,PANAMA,SEA MAPLE,OPEN SEA,"FANGCHENG, GX",SWLA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/14 16:05,SWLA,CGW LOGISTICS CO LIMITED
VRCY6,2025/05/14 23:00,9.2,2025/05/14 05:32,2025/05/13 03:00,"HONG KONG, CHINA",SEASPAN YINGKOU,"DALIAN, LN","NINGBO, ZJ",KC10,CONTAINER,RCVD,2025/05/14 17:08,KC10,EVERGREEN MARINE (HONG KONG) LTD
3E2170,2025/05/14 18:00,8.31,2025/05/14 07:30,2025/05/14 09:00,PANAMA,APOLLO FIRST,OPEN SEA,YAWATA,SELA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/14 10:04,PT,VEROSA AGENCY LIMITED
5LSI3,2025/05/15 10:13,14.5,2025/05/14 08:57,2025/05/14 07:44,LIBERIA,POST MARVEL,SINGAPORE,PRINCE RUPERT,SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/14 19:10,E,TOTAL MARINE AGENCY LIMITED
CQIU6,2025/05/14 17:30,7.5,2025/05/14 09:16,2025/05/11 11:00,PORTUGAL,AS COLUMBIA,LAEM CHABANG,"NANSHA, PANYU",KC17,CONTAINER,RCVD,2025/05/14 18:04,S,SINOTRANS (HK) SHIPPING LTD
HP9499,2025/05/14 23:00,5.8,2025/05/14 09:20,2025/05/14 06:00,PANAMA,HOLLY DEVELOPER,NAKHODKA,"ZHANJIANG, GD",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/14 15:17,W,SGS HONG KONG LIMITED
3E7558,2025/05/15 18:43,7.2,2025/05/14 09:26,2025/05/14 10:00,PANAMA,MARINA ARUNG,"DONGGUAN, GD","OTHER, CHINA (COAST)",SLA,CHEMICAL,RCVD,2025/05/15 18:44,SLA,WALLEM SHIPPING (HK) LTD
V7A5825,2025/05/15 09:34,8.8,2025/05/14 09:51,2025/05/15 13:30,MARSHALL ISLANDS,TS GUANGZHOU,"SHEKOU, SHENZHEN","SHEKOU, SHENZHEN",KC6,CONTAINER,RCVD,2025/05/14 18:00,S,T.S. LINES LIMITED
VRSK4,2025/05/15 18:00,13.8,2025/05/14 09:53,2025/05/12 00:01,"HONG KONG, CHINA",COSCO SHIPPING LOTUS,"YANTIAN, SHENZHEN",KAOHSIUNG,KC14,CONTAINER,RCVD,2025/05/14 21:26,WL,COSCO SHIPPING CONTAINER LINE AGENCIES LIMITED
D7QB,2025/05/14 18:30,10.2,2025/05/14 10:25,2025/05/14 03:00,REPUBLIC OF KOREA,HEUNG-A BANGKOK,"SHANGHAI, SH",PENANG ISLAND,KC9,CONTAINER,RCVD,2025/05/14 20:59,S,KONG HING AGENCY LTD
V7AQ9,2025/05/15 10:14,11,2025/05/14 11:27,2025/05/14 12:00,MARSHALL ISLANDS,GENCO RELIANCE,OPEN SEA,"OTHER, CHINA (COAST)",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/15 14:49,E,WILHELMSEN PORT SERVICES (HONG KONG) LIMITED
3E7431,2025/05/15 14:00,7.3,2025/05/14 12:59,2025/05/13 18:00,PANAMA,HUI YUAN,"TABONEO, INDONESIA",HUIZHOUGANG,SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/14 16:56,E,SGS HONG KONG LIMITED
5BCK2,2025/05/13 11:00,6.72,2025/05/13 04:31,2025/05/12 08:00,CYPRUS,MEGALOHARI,OPEN SEA,"CHAOZHOU, GD",SELA,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,RCVD,2025/05/13 08:25,SELA,"UNITRANS AGENCY HONG KONG CO., LIMITED"
3EJI7,2025/05/13 02:00,5.44,2025/05/12 19:01,2025/05/12 18:00,PANAMA,ZAMBALES,HAIPHONG,TAIPEI,CMTY,RORO/REEFER CARRIER,RCVD,2025/05/13 01:56,S,EASTERN WORLDWIDE CO LTD
9HA5839,2025/05/12 21:30,9.02,2025/05/12 19:15,2025/05/12 07:00,MALTA,CNC PUMA,"TIANJIN XINGANG, TJ","OTHER, VIETNAM",URMA,CONTAINER,RCVD,2025/05/12 19:16,WL,CMA CGM ASIA SHIPPING PTE. LTD.
VRWI3,2025/05/13 12:00,11.5,2025/05/12 23:10,2025/05/15 20:00,"HONG KONG, CHINA",OOCL BAUHINIA,"YANTIAN, SHENZHEN","YANTIAN, SHENZHEN",KC14,CONTAINER,RCVD,2025/05/13 15:13,KC14,OOCL HONG KONG BRANCH
D7VN,2025/05/13 17:00,12.5,2025/05/12 23:16,2025/05/12 21:00,REPUBLIC OF KOREA,KMTC COLOMBO,QINGDAO,KARACHI,KC8,CONTAINER,RCVD,2025/05/13 16:59,KC8,KMTC (HK) CO LIMITED
VRUN6,2025/05/13 21:00,14.6,2025/05/13 00:30,2025/05/11 21:00,"HONG KONG, CHINA",ONE PARANA,SINGAPORE,"NINGBO, ZJ",KC2,CONTAINER,RCVD,2025/05/13 20:44,KC2,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED
3E8732,2025/05/13 08:00,7.1,2025/05/13 00:31,2025/05/12 23:00,PANAMA,HUI FENG HAI 17,BATAM,"TIANJIN XINGANG, TJ",SWLA,GENERAL / HEAVY LIFT CARGO,RCVD,2025/05/13 10:00,SWLA,CGW LOGISTICS CO LIMITED
9V6494,2025/05/13 18:00,11.1,2025/05/13 01:24,2025/05/12 23:59,SINGAPORE,WAN HAI 325,KAOHSIUNG,SINGAPORE,KC6,CONTAINER,RCVD,2025/05/13 19:41,KC6,HYALINE SHIPPING (HK) CO LTD
VRMV2,2025/05/13 08:00,6.3,2025/05/13 02:14,2025/05/12 18:00,"HONG KONG, CHINA",YUEHAI STAR,"JIANGYIN, JS","DONGGUAN, GD",SLA,CHEMICAL,RCVD,2025/05/13 07:29,SLA,CGW LOGISTICS CO LIMITED
V7A2844,2025/05/13 13:00,7.6,2025/05/13 02:18,2025/05/13 06:00,MARSHALL ISLANDS,STAR EXPLORER,HAIPHONG,INCHEON,KC10,CONTAINER,RCVD,2025/05/13 12:56,KC10,NAMSUNG SHIPPING HONG KONG LIMITED
BLHP,2025/05/13 23:59,8.4,2025/05/13 02:24,2025/05/13 02:00,"TAIWAN, CHINA",YM IMMENSE,KAOHSIUNG,HO CHI MINH CITY,KC7,CONTAINER,RCVD,2025/05/13 10:57,KC7,YANG MING LINE (HONG KONG) LTD
9VFL3,2025/05/13 21:00,10,2025/05/13 04:06,2025/05/12 16:00,SINGAPORE,ACX DIAMOND,PORT KELANG,KEELUNG,KC5,CONTAINER,RCVD,2025/05/13 16:43,KC5,OCEAN NETWORK EXPRESS (EAST ASIA) LIMITED
